"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1288485","","17003","07970052","Chief Financial Officer","Mr","Andrew","","Blench","26/04/2018","","N/A"
"1288488","","17004","","Accounting Officer","","Dan","","Rosser","26/04/2018","","N/A"
"1288495","","17004","","Chief Financial Officer","Mrs","Franchesca","","Hedges","26/04/2018","","N/A"
"1288496","","17004","","Member","Mr","Andre","","Gonzalez de Savage","26/04/2018","","Appointed by foundation/Trust"
"1288498","","17004","","Trustee","Mr","Craig","","Armstrong","26/04/2018","16/12/2021","Appointed by GB/board"
"1288499","","17004","","Member","Mr","John","","Davis","26/04/2018","","Appointed by academy members"
"1288500","","17004","","Member","Ms","Angela","","Ward","26/04/2018","","Appointed by academy members"
"1288501","","17004","","Member","Mr","Chris","","Knight","26/04/2018","","Appointed by academy members"
"1288502","","17004","","Member","Ms","Jelena","","Motte","26/04/2018","","Appointed by academy members"
"1288503","","17004","","Member","Mr","David","","Laing","26/04/2018","","Appointed by academy members"
"1288509","","17005","07925067","Chief Financial Officer","Mr","David","","Newman","26/04/2018","","N/A"
"1288510","","17005","07925067","Chair of Trustees","Mr","Mark","","Foster","26/01/2012","25/01/2024","Original (signatory) members"
"1288511","","17005","07925067","Accounting Officer","Ms","Sara","","Dangerfield","01/09/2012","","N/A"
"1288512","","17005","07925067","Trustee","Mrs","Sara","","Dangerfield","22/03/2021","21/03/2025","Appointed by academy members"
"1425345","","17005","07925067","Trustee","Ms","Moira","","Jones","12/02/2012","11/02/2024","Appointed by GB/board"
"1425347","","17005","07925067","Trustee","Dr","Sarah","","Small","04/11/2019","03/11/2023","Appointed by GB/board"
"1425348","","17005","07925067","Trustee","Ms","Hayley","","van Leeuwen","04/11/2019","03/11/2023","Appointed by GB/board"
"1428638","","17005","07925067","Member","Mr","Mark","","Foster","26/01/2012","","Original (signatory) members"
"1428639","","17005","07925067","Member","Mr","Andrew","","Clayton","26/01/2012","","Original (signatory) members"
"1488644","","17005","07925067","Trustee","Mr","Thomas","","Southee","16/11/2020","15/11/2024","Appointed by GB/board"
"1516634","","17005","07925067","Trustee","Mrs","Janette","","Weller","22/03/2021","21/03/2025","Appointed by GB/board"
"1530518","","17005","07925067","Member","Mr","James","","Cobb","14/06/2021","","Appointed by academy members"
"1530519","","17005","07925067","Trustee","Mr","David","","Newman","21/06/2021","20/06/2025","Appointed by GB/board"
"1590910","","17005","07925067","Trustee","Ms","Emily","Joy","Riley","14/03/2022","13/03/2026","Appointed by GB/board"
"1606700","","17005","07925067","Trustee","Ms","Samantha","","Pride","21/07/2022","20/07/2027","Appointed by GB/board"
"1300251","","17009","10377160","Accounting Officer","","Tracy","Louise","Webb","01/05/2018","","N/A"
"1313792","","17009","10377160","Member","Mr","David","Ellis","Teggin","15/09/2016","","Appointed by foundation/Trust"
"1313795","","17009","10377160","Trustee","Mr","Paul","Douglas","Jenkins","15/09/2016","13/10/2026","Appointed by foundation/Trust"
"1313797","","17009","10377160","Trustee","Mrs","Tracy","Louise","Webb","15/09/2016","01/05/2024","Appointed by foundation/Trust"
"1313806","","17009","10377160","Member","Mrs","Kate","","Anscombe","06/06/2017","14/12/2021","Appointed by academy members"
"1313848","","17009","10377160","Member","Mr","Allan","","Rogan","15/09/2016","","Appointed by foundation/Trust"
"1314587","","17009","10377160","Trustee","Mr","Simon","Leslie","Grove","15/09/2016","30/04/2024","Appointed by foundation/Trust"
"1314608","","17009","10377160","Trustee","Mrs","Julie","","Murphy","15/09/2016","01/05/2024","Appointed by foundation/Trust"
"1401612","","17009","10377160","Trustee","Mr","Dave","Ellis","Teggin","03/11/2019","02/11/2023","Appointed by foundation/Trust"
"1429569","","17009","10377160","Chief Financial Officer","Mrs","Sarah","Jayne","Connolly","07/01/2020","","N/A"
"1442329","","17009","10377160","Trustee","Mr","John","","Mann","05/05/2020","05/05/2024","Appointed by foundation/Trust"
"1442417","","17009","10377160","Trustee","Mr","William","David","Keith","05/05/2020","05/05/2024","Appointed by foundation/Trust"
"1442851","","17009","10377160","Trustee","Mrs","Jennifer","Emma","Parry","05/05/2020","14/12/2021","Appointed by foundation/Trust"
"1494885","","17009","10377160","Member","Mr","Ralph","","Mainard","15/12/2020","","Appointed by academy members"
"1494887","","17009","10377160","Member","Mrs","Deborah","Jane","Johnson","15/12/2020","","Appointed by academy members"
"1522332","","17009","10377160","Chair of Trustees","Mr","Paul","Douglas","Jenkins","15/09/2016","31/08/2022","Appointed by academy members"
"1568604","","17009","10377160","Member","Mrs","Jennifer","","Opuzi-Parry","14/12/2021","","Appointed by academy members"
"1568605","","17009","10377160","Trustee","Ms","Kate","","Anscombe","14/12/2021","14/12/2025","Appointed by academy members"
"1605951","","17009","10377160","Trustee","","Julie","Anne","Wootton","26/07/2022","25/07/2026","Appointed by foundation/Trust"
"1609016","","17009","10377160","Chair of Trustees","Mr","David","","Keith","01/09/2022","31/08/2023","Appointed by foundation/Trust"
"1294312","","17010","10980753","Accounting Officer","","Kevin","","Brennan","01/05/2018","","N/A"
"1315929","","17010","10980753","Trustee","Mr","Sean","","Barnett","01/04/2018","31/03/2022","Appointed by academy members"
"1315932","","17010","10980753","Trustee","Mr","Kevin","","Brennan","25/09/2017","24/09/2025","Appointed by academy members"
"1315939","","17010","10980753","Trustee","Mr","Keith","","Lumsdon","25/09/2017","24/09/2025","Appointed by academy members"
"1315944","","17010","10980753","Trustee","Mr","Stuart","","Raw","25/09/2017","24/09/2025","Appointed by academy members"
"1315948","","17010","10980753","Trustee","Mr","Richard","","Roberts","25/09/2017","24/09/2025","Appointed by academy members"
"1315951","","17010","10980753","Trustee","Mr","Guy","","Somerville","25/09/2017","24/09/2025","Appointed by academy members"
"1315967","","17010","10980753","Member","Mr","Keith","","Lumsdon","25/09/2017","","Original (signatory) members"
"1315979","","17010","10980753","Member","Mr","Elliot","","Freeman","25/09/2017","","Original (signatory) members"
"1315986","","17010","10980753","Chief Financial Officer","Mrs","Louise","","Edgar","25/09/2017","","N/A"
"1316017","","17010","10980753","Member","Mr","Jonathon","","Simpson","25/09/2017","","Original (signatory) members"
"1408882","","17010","10980753","Chair of Trustees","Mr","Garry","","Stout","14/05/2019","13/05/2023","Appointed by foundation/Trust"
"1461465","","17010","10980753","Trustee","Mr","Kenneth","","Reed","15/09/2020","14/09/2024","Appointed by academy members"
"1467951","","17010","10980753","Trustee","Mr","Douglas","","Clark","02/10/2020","01/10/2024","Appointed by academy members"
"1299632","","17011","11291523","Chair of Trustees","","Clare","","Thornton-Eckford","04/04/2018","03/04/2022","Appointed by academy members"
"1299633","","17011","11291523","Trustee","","Richard","James","Coy","04/04/2018","03/04/2022","Appointed by academy members"
"1299636","","17011","11291523","Trustee","","Simon","","Peacock","04/04/2018","03/04/2022","Appointed by academy members"
"1299641","","17011","11291523","Trustee","","Nick","","Sheppard","04/04/2018","03/04/2022","Appointed by academy members"
"1299644","","17011","11291523","Trustee","","Alison","","Smith","04/04/2018","03/04/2022","Appointed by foundation/Trust"
"1299647","","17011","11291523","Trustee","","Peter","John","Wilson","04/04/2018","03/04/2022","Appointed by academy members"
"1299649","","17011","11291523","Trustee","","Tom","","Fielden","04/04/2018","03/04/2022","Appointed by academy members"
"1299661","","17011","11291523","Member","","John","","Hattam","04/04/2018","","Original (signatory) members"
"1299666","","17011","11291523","Member","","Alison","","Lee","04/04/2018","","Original (signatory) members"
"1299670","","17011","11291523","Chief Financial Officer","","Melissa","","Boyes","04/04/2018","","N/A"
"1403147","","17011","11291523","Member","","Dawn","","Younge","22/10/2019","","Foundation/sponsor members"
"1455486","","17011","11291523","Member","","Ian","","Butler","07/07/2020","","Appointed by academy members"
"1459464","","17011","11291523","Accounting Officer","Mr","Ian","","Yapp","01/09/2020","","N/A"
"1603318","","17011","11291523","Chair of Trustees","","Clare","","Thornton-Eckford","16/12/2021","15/12/2025","Appointed by academy members"
"1603319","","17011","11291523","Trustee","","Richard","","Coy","16/12/2021","15/12/2025","Appointed by academy members"
"1603320","","17011","11291523","Trustee","","Tom","","Fielden","16/12/2021","15/12/2025","Appointed by academy members"
"1603321","","17011","11291523","Trustee","","Alison","","Smith","04/04/2022","03/04/2026","Appointed by foundation/Trust"
"1603322","","17011","11291523","Trustee","","Nick","","Sheppard","16/12/2021","15/12/2025","Appointed by academy members"
"1603323","","17011","11291523","Trustee","","Julie","","Charge","07/02/2022","06/02/2026","Appointed by academy members"
"1603324","","17011","11291523","Trustee","","Simon","","Peacock","16/12/2021","15/12/2025","Appointed by academy members"
"1603326","","17011","11291523","Trustee","","Peter","","Wilson","16/12/2021","15/12/2026","Appointed by academy members"
"1603329","","17011","11291523","Member","","Andrew","","Smith","16/06/2022","","Foundation/sponsor members"
"1610790","","17011","11291523","Trustee","Mr","David","","Cockayne","01/09/2022","31/08/2026","Appointed by academy members"
"1298231","","17012","10975521","Trustee","Mr","Nigel","Brent","Fitzpatrick","01/05/2018","01/05/2022","Appointed by GB/board"
"1373158","","17012","10975521","Chief Financial Officer","Mrs","Lisa","","Bradley","08/07/2019","31/08/2022","N/A"
"1374583","","17012","10975521","Accounting Officer","Mr","Michael","","Thorp","17/07/2019","","N/A"
"1411025","","17012","10975521","Member","Mr","Imran","","Khan","22/11/2019","","Appointed by academy members"
"1411034","","17012","10975521","Member","Ms","Fauqia","","Mahfooz","22/11/2019","","Appointed by academy members"
"1411040","","17012","10975521","Member","Mr","Gregory","","Rogers","22/11/2019","","Appointed by academy members"
"1411486","","17012","10975521","Member","Mr","Asa","","Gordon","22/11/2019","07/07/2022","Appointed by academy members"
"1411554","","17012","10975521","Trustee","Mrs","Deirdre","Kerry","Bailey","03/12/2019","03/12/2023","Appointed by academy members"
"1411562","","17012","10975521","Trustee","Mr","Hugh","Russell","Figgess","03/12/2019","03/12/2023","Appointed by academy members"
"1414631","","17012","10975521","Chair of Trustees","Mr","Nicholas","Geoffrey","Briggs","10/12/2019","10/12/2023","Appointed by foundation/Trust"
"1444414","","17012","10975521","Trustee","Mr","Scott","Alexander","Crosby","27/05/2020","27/05/2024","Appointed by academy members"
"1479991","","17012","10975521","Trustee","Mr","Roger","Paul","Butterfield","06/11/2020","05/11/2024","Appointed by academy members"
"1510969","","17012","10975521","Trustee","Mrs","Emma","Jayne","Lister","15/03/2021","15/03/2025","Appointed by academy members"
"1550034","","17012","10975521","Trustee","Mr","Rizwan","","Rehman","10/10/2021","10/10/2025","Appointed by academy members"
"1551042","","17012","10975521","Trustee","Mrs","Jumaimah","","Iqbal","13/10/2021","13/10/2025","Appointed by academy members"
"1551236","","17012","10975521","Trustee","Mrs","Dianne","","Richardson","13/10/2021","13/10/2025","Appointed by academy members"
"1596643","","17012","10975521","Trustee","Mr","Nigel","Brent","Fitzpatrick","01/05/2022","01/05/2026","Appointed by academy members"
"1606834","","17012","10975521","Member","Mrs","Geraldine","","Tolan","24/06/2022","","Appointed by academy members"
"1606835","","17012","10975521","Trustee","Mrs","Penelope","","Silson","11/05/2022","11/05/2026","Appointed by academy members"
"1611588","","17012","10975521","Chief Financial Officer","Miss","Katherine","","Evans","01/09/2022","02/10/2022","N/A"
"1619886","","17012","10975521","Chief Financial Officer","Miss","Lindsey","","Denton","03/10/2022","","N/A"
"1326256","","17013","11137772","Accounting Officer","Mrs","Judith","Anne","Humphry","01/05/2018","","N/A"
"1326267","","17013","11137772","Chief Financial Officer","Mrs","Amanda","Jane","Bell","01/05/2018","","N/A"
"1326425","","17013","11137772","Trustee","Mrs","Pat","","Knauff","02/02/2021","01/02/2024","Appointed by foundation/Trust"
"1326426","","17013","11137772","Trustee","Mrs","Judith","","Humphry","07/01/2021","06/01/2024","Appointed by foundation/Trust"
"1326488","","17013","11137772","Member","Mr","Martin","","Grubb","08/01/2018","","Appointed by foundation/Trust"
"1326491","","17013","11137772","Member","Dame","Valerie","","Bragg","08/01/2018","","Appointed by foundation/Trust"
"1387915","","17013","11137772","Chair of Trustees","Mr","Martin","John Watkins","Grubb","17/09/2020","16/09/2022","Appointed by GB/board"
"1408947","","17013","11137772","Trustee","Mrs","Eithne","Mary","Lee","02/04/2019","02/04/2023","Appointed by GB/board"
"1502971","","17013","11137772","Member","Mr","Barry","","MacDonald","02/02/2021","","Appointed by foundation/Trust"
"1509591","","17013","11137772","Trustee","Ms","Julie","","Bellamy","02/02/2021","02/02/2023","Appointed by foundation/Trust"
"1510654","","17013","11137772","Trustee","Mrs","Julie","","Stayte","09/03/2021","08/03/2024","Appointed by foundation/Trust"
"1294319","","17014","11108321","Accounting Officer","","Pamela","","Kilbey","01/05/2018","31/08/2022","N/A"
"1294952","","17014","11108321","Chair of Trustees","Ms","Claire","Patricia","Higgins","18/04/2018","17/04/2026","Appointed by academy members"
"1294953","","17014","11108321","Member","Mr","Roy","Alexander","Duncan","01/04/2018","","Original (signatory) members"
"1294955","","17014","11108321","Chief Financial Officer","Ms","Deborah","","Keith","18/04/2018","","N/A"
"1294956","","17014","11108321","Trustee","Miss","Tracey","","Hedges","18/04/2018","17/04/2026","Appointed by academy members"
"1294958","","17014","11108321","Trustee","Mr","Adriano","","Pacitti","18/04/2018","17/04/2026","Appointed by academy members"
"1294959","","17014","11108321","Trustee","Mr","William","Peter","Kerry","18/04/2018","17/04/2026","Appointed by academy members"
"1294960","","17014","11108321","Trustee","Mrs","Lisa","","Lloyd","18/04/2018","17/04/2022","Appointed by academy members"
"1294961","","17014","11108321","Trustee","Mr","Colin","","Hammond","18/04/2018","17/04/2026","Appointed by academy members"
"1294962","","17014","11108321","Trustee","Mr","Bernard","","Champness","18/04/2018","27/05/2022","Appointed by academy members"
"1294963","","17014","11108321","Trustee","Mr","Alan","","Sadler","18/04/2018","17/04/2026","Appointed by academy members"
"1295098","","17014","11108321","Member","Mr","Matthew","John","Edwards","01/04/2018","","Original (signatory) members"
"1295099","","17014","11108321","Member","Mr","Richard","Howard","Astle","01/04/2018","","Original (signatory) members"
"1295100","","17014","11108321","Member","Mrs","Penelope","","Walkinshaw","01/04/2018","","Original (signatory) members"
"1364395","","17014","11108321","Member","Mrs","Claire","Patricia","Higgins","18/04/2018","","Appointed by academy members"
"1608654","","17014","11108321","Accounting Officer","Dr","Ian","","Young","01/09/2022","","N/A"
"1294327","","17015","10869370","Accounting Officer","","Janet","","Cullen","01/05/2018","","N/A"
"1321550","","17015","10869370","Chair of Trustees","Mr","Anthony","Douglas","Wilde","01/05/2018","30/05/2022","Appointed by foundation/Trust"
"1321596","","17015","10869370","Trustee","Mr","George","Robert","Reeve","01/05/2018","30/04/2022","Appointed by GB/board"
"1321599","","17015","10869370","Chief Financial Officer","Mr","Jamie","William","March","01/09/2018","","N/A"
"1321603","","17015","10869370","Trustee","Mrs","Angela","Kathleen","Byrne","01/05/2018","30/04/2022","Appointed by GB/board"
"1321607","","17015","10869370","Trustee","Mr","Michael","Anthony","Sprosson","01/05/2018","30/04/2022","Appointed by GB/board"
"1321612","","17015","10869370","Trustee","Mrs","Mahnaz","","Asghar","01/05/2018","30/04/2022","Appointed by GB/board"
"1321614","","17015","10869370","Trustee","Mrs","Deborah","","Thompson","01/05/2018","30/04/2022","Appointed by foundation/Trust"
"1321617","","17015","10869370","Trustee","Mr","Dennis","","Wilson","01/05/2018","30/04/2022","Appointed by foundation/Trust"
"1321636","","17015","10869370","Member","Mr","George","Robert","Reeve","01/05/2018","","Original (signatory) members"
"1321639","","17015","10869370","Member","Mr","Benjamin","Victor","Harris","01/05/2018","","Original (signatory) members"
"1321641","","17015","10869370","Member","Mrs","Elena","","Feeney","01/05/2018","","Original (signatory) members"
"1321645","","17015","10869370","Trustee","Mrs","Janet","","Cullen","01/05/2018","30/04/2022","Appointed by GB/board"
"1290024","","17018","07719076","Accounting Officer","Mrs","Margaret","","Chapman","03/05/2018","","N/A"
"1290025","","17018","07719076","Trustee","Mrs","Margaret","N/A","Chapman","03/05/2018","","Ex-officio by virtue of office as headteacher/principal"
"1290033","","17018","07719076","Member","Miss","Lesley","Margaret","Ainsworth","01/05/2018","","Appointed by academy members"
"1290042","","17018","07719076","Chief Financial Officer","Mr","Phil","","O'Neill","03/05/2018","","N/A"
"1358795","","17018","07719076","Chair of Trustees","Ms","Rachael","Patricia","Kenningham","01/05/2022","30/04/2026","Appointed by academy members"
"1389306","","17018","07719076","Trustee","Mrs","Mary","Elizabeth","Newman","01/05/2022","30/04/2026","Appointed by academy members"
"1389309","","17018","07719076","Trustee","Mr","Paul","Andrew","Lerwill","01/05/2022","30/04/2026","Appointed by academy members"
"1394587","","17018","07719076","Member","Mrs","Claire","Frances Ruth","Barnard","01/05/2018","","Appointed by academy members"
"1394593","","17018","07719076","Member","Mr","Paul","Oliver","Webster","01/05/2018","","Appointed by academy members"
"1397587","","17018","07719076","Member","Dame","Helen","N/A","Hyde","01/05/2018","","Appointed by academy members"
"1498877","","17018","07719076","Member","Mr","Martin","Richard","Post","14/01/2021","","Appointed by academy members"
"1500855","","17018","07719076","Trustee","Mrs","Hannah","Elise","Hill","14/01/2021","14/01/2025","Appointed by academy members"
"1536010","","17018","07719076","Trustee","Mr","Paul","Oliver","Webster","09/03/2022","08/03/2026","Appointed by foundation/Trust"
"1536012","","17018","07719076","Trustee","Mrs","Kemi","","Bolarin","09/07/2020","27/10/2021","Appointed by academy members"
"1536015","","17018","07719076","Trustee","Mr","Anthony","Paul","Snook","01/05/2022","30/04/2026","Appointed by foundation/Trust"
"1536016","","17018","07719076","Trustee","Mrs","Claire","","Robins","02/07/2022","01/07/2026","Appointed by academy members"
"1604132","","17018","07719076","Trustee","Mr","Andrew","Paul","Millard","09/03/2022","08/03/2026","Appointed by academy members"
"1604138","","17018","07719076","Trustee","Mr","Richard","James","Edwards","10/03/2022","09/03/2026","Appointed by academy members"
"1290043","","17019","07696989","Accounting Officer","","Gemma","","Ackred","03/05/2018","","N/A"
"1290044","","17019","07696989","Trustee","Mr","David","","Micklewright","12/09/2022","11/09/2026","Appointed by foundation/Trust"
"1290045","","17019","07696989","Trustee","Mr","Joe","","Parsad","21/09/2022","20/09/2026","Appointed by foundation/Trust"
"1290051","","17019","07696989","Member","Rev","Alan","","Williams","03/05/2018","","Appointed by foundation/Trust"
"1290056","","17019","07696989","Member","Mr","Robert","","Simpson","03/05/2018","","Any additional members appointed by the members of the academy trust"
"1317705","","17019","07696989","Chair of Trustees","Mr","Francis","","McEvoy","14/09/2022","13/09/2026","Appointed by foundation/Trust"
"1317719","","17019","07696989","Trustee","Mr","John","","Foster","21/09/2022","20/09/2026","Appointed by foundation/Trust"
"1317721","","17019","07696989","Trustee","Mr","Mathew","","Stewart","01/09/2022","31/08/2026","Appointed by foundation/Trust"
"1317729","","17019","07696989","Trustee","Mr","John","","Upsher","01/09/2022","31/08/2026","Appointed by foundation/Trust"
"1387131","","17019","07696989","Chief Financial Officer","Mrs","Michelle","","westpfel","01/09/2019","","N/A"
"1387137","","17019","07696989","Trustee","Mrs","Melanie","","Clayton-Cashell","31/08/2018","30/08/2022","Appointed by foundation/Trust"
"1399508","","17019","07696989","Trustee","Mrs","Anna","","McCormick","11/10/2019","31/08/2022","Appointed by foundation/Trust"
"1399511","","17019","07696989","Trustee","Mr","David","","Micklewright","12/09/2022","31/08/2022","Appointed by foundation/Trust"
"1410482","","17019","07696989","Member","Fr","Stephen","","Meyers","01/11/2019","","Appointed by academy members"
"1300207","","17028","11259965","Trustee","Dr","Alan","","Howells","16/03/2018","31/08/2024","Appointed by academy members"
"1300211","","17028","11259965","Chair of Trustees","Dr","Alan","","Howells","16/03/2018","31/08/2022","Appointed by academy members"
"1300213","","17028","11259965","Trustee","Mr","Julian","","Woolley","16/03/2018","31/08/2026","Appointed by academy members"
"1300214","","17028","11259965","Trustee","Mr","Michael","","Revell","16/03/2018","31/08/2024","Appointed by academy members"
"1300216","","17028","11259965","Trustee","Mr","Ian","","Nurser","16/03/2018","31/08/2024","Appointed by academy members"
"1300218","","17028","11259965","Trustee","Mr","Michael","","Cladingbowl","16/03/2018","31/08/2025","Appointed by academy members"
"1300219","","17028","11259965","Member","Mr","Alan","","Howells","16/03/2018","","Appointed by academy members"
"1300222","","17028","11259965","Member","","Lichfield Diocesan Board of Education","","Lichfield Diocesan Board of Education","16/03/2018","","Appointed by foundation/Trust"
"1300224","","17028","11259965","Member","Ms","Ann","","Fisher","16/03/2018","","Appointed by foundation/Trust"
"1300226","","17028","11259965","Accounting Officer","Mr","Ian","","Nurser","16/03/2018","","N/A"
"1300228","","17028","11259965","Chief Financial Officer","Mrs","Tricia","","Slater","01/05/2018","","N/A"
"1319787","","17028","11259965","Trustee","Dr","Lesley","Ann","Rollason","01/07/2018","12/07/2022","Appointed by academy members"
"1404132","","17028","11259965","Member","Mr","Andy","","Connell","01/07/2019","","Appointed by academy members"
"1470344","","17028","11259965","Trustee","Mr","Paul","","Bunting","29/09/2020","31/08/2028","Appointed by GB/board"
"1470345","","17028","11259965","Member","Mr","Ken","","Greetham","01/04/2020","","Appointed by academy members"
"1476210","","17028","11259965","Shared Local Governor - Group","Ms","Michelle","","Harrington","","","Appointed by foundation/Trust"
"1609266","","17028","11259965","Chair of Trustees","Mr","Paul","","Bunting","01/09/2022","31/08/2028","Appointed by GB/board"
"1299753","","17029","10799237","Chief Financial Officer","Miss","Karen","","Hodgson","01/06/2018","","N/A"
"1299777","","17029","10799237","Trustee","Mr","Wes","","English","25/05/2022","24/05/2026","Appointed by foundation/Trust"
"1299784","","17029","10799237","Accounting Officer","Mrs","Debra","","de Muschamp","01/06/2018","","N/A"
"1299787","","17029","10799237","Trustee","Mrs","Debra","","de Muschamp","01/06/2018","31/05/2022","Appointed by foundation/Trust"
"1299788","","17029","10799237","Trustee","Mr","James","Bruce","Nicol","25/05/2022","24/05/2026","Appointed by foundation/Trust"
"1299790","","17029","10799237","Trustee","Mr","Neil","MacDonald","Clyde","25/05/2022","31/08/2022","Appointed by foundation/Trust"
"1300889","","17029","10799237","Member","Ms","Vikkie","","Morton","01/06/2018","","Appointed by academy members"
"1358386","","17029","10799237","Trustee","Mrs","Val","","Cadd","01/04/2019","31/03/2023","Appointed by foundation/Trust"
"1380542","","17029","10799237","Trustee","Mr","Anthony","","Conlin","03/07/2019","02/07/2023","Appointed by foundation/Trust"
"1380546","","17029","10799237","Trustee","Mr","Anthony","","Kemp","03/07/2019","02/07/2023","Appointed by foundation/Trust"
"1414121","","17029","10799237","Chair of Trustees","Mr","Darren","","Andrews","25/05/2022","24/05/2026","Appointed by academy members"
"1447381","","17029","10799237","Member","Mr","Simon","John","Hodgson","08/05/2020","","Appointed by academy members"
"1526276","","17029","10799237","Member","Mrs","Delia","","Cowley","01/12/2020","","Appointed by academy members"
"1609548","","17029","10799237","Trustee","Mr","David","","Walker","05/09/2022","04/09/2026","Appointed by foundation/Trust"
"1323327","","17030","11276240","Accounting Officer","Mr","Richard","","Cranmer","24/10/2018","","N/A"
"1340095","","17030","11276240","Shared Local Governor - Group","Rev","Christopher","","Hutton","","01/09/2022","Appointed by foundation/Trust"
"1340099","","17030","11276240","Shared Local Governor - Group","Mrs","Fiona","","Wilson","","01/09/2022","Appointed by foundation/Trust"
"1340101","","17030","11276240","Shared Local Governor - Group","Mr","Richard","","Kirk","","01/09/2022","Appointed by foundation/Trust"
"1340103","","17030","11276240","Shared Local Governor - Group","Mrs","Zoe","","Moyse","","01/09/2022","Appointed by foundation/Trust"
"1340105","","17030","11276240","Shared Local Governor - Group","Mrs","Stacey","","Street","","01/09/2022","Elected by school staff"
"1340106","","17030","11276240","Shared Local Governor - Group","Mr","Adrian","","Simpson","","01/09/2022","Elected by parents"
"1340109","","17030","11276240","Shared Local Governor - Group","Mr","Rob","","Connelly","","01/09/2022","Ex-officio by virtue of office as headteacher/principal"
"1342048","","17030","11276240","Shared Local Governor - Group","Mrs","Jo","","Cerullo","","02/06/2022","Ex-officio by virtue of office as headteacher/principal"
"1342748","","17030","11276240","Trustee","Mr","Paul","","Dunning","26/03/2018","25/03/2026","Appointed by academy members"
"1342755","","17030","11276240","Trustee","","Paul","","Weeks","26/03/2018","25/03/2026","Appointed by academy members"
"1342756","","17030","11276240","Trustee","","Edward","","Frankland","26/03/2018","25/03/2026","Appointed by academy members"
"1342759","","17030","11276240","Trustee","","Geoff","","Rivers","06/03/2018","25/03/2026","Appointed by academy members"
"1342760","","17030","11276240","Trustee","","Steve","","Potter","26/03/2018","26/09/2022","Appointed by academy members"
"1342762","","17030","11276240","Trustee","","Michael","","Soper","09/05/2018","23/06/2022","Appointed by academy members"
"1351916","","17030","11276240","Shared Local Governor - Group","Mrs","Debbie","","Bryant","","","Appointed by foundation/Trust"
"1365574","","17030","11276240","Trustee","Mrs","Rachel","","Beeson","21/05/2019","20/05/2023","Appointed by academy members"
"1366505","","17030","11276240","Shared Local Governor - Group","Mr","Mark","","Burrows","","","Appointed by foundation/Trust"
"1373089","","17030","11276240","Member","Mr","Mark","","Allbrook","26/03/2018","","Foundation/sponsor members"
"1378560","","17030","11276240","Chair of Trustees","Mr","Fred","","Corbett","26/03/2018","25/03/2026","Appointed by academy members"
"1395273","","17030","11276240","Member","Bishop","Graham","","Usher","01/10/2019","","Original (signatory) members"
"1434523","","17030","11276240","Chief Financial Officer","Mr","David","","Fannon","13/03/2020","","N/A"
"1459184","","17030","11276240","Trustee","Mrs","Priscilla","","Crane","01/09/2020","31/08/2024","Appointed by academy members"
"1494971","","17030","11276240","Shared Local Governor - Group","","Susannah","","Forth","","01/09/2022","Elected by parents"
"1494987","","17030","11276240","Shared Local Governor - Group","","Lisa","","Weller","","","Elected by parents"
"1495014","","17030","11276240","Shared Local Governor - Group","","Tania","","Wyatt","","","Elected by school staff"
"1499077","","17030","11276240","Trustee","Mrs","Eve","","Dewsnap","22/01/2021","21/01/2025","Appointed by academy members"
"1499181","","17030","11276240","Shared Local Governor - Group","Mr","Mark","","Raines","","01/09/2022","Appointed by foundation/Trust"
"1534563","","17030","11276240","Shared Local Governor - Group","Mr","Peter","","Jarvis","","01/09/2022","Elected by school staff"
"1535682","","17030","11276240","Shared Chair of Local Governing Body - Group","Mr","Clive","","Sinfield","","","Appointed by foundation/Trust"
"1537721","","17030","11276240","Shared Local Governor - Group","Mr","Mark","","Carlyle","","01/09/2022","Ex-officio by virtue of office as headteacher/principal"
"1544608","","17030","11276240","Shared Local Governor - Group","","Julia","","Penn","","","Elected by school staff"
"1544609","","17030","11276240","Shared Local Governor - Group","","Moira","","Croskell","","02/07/2022","Ex-officio by virtue of office as headteacher/principal"
"1544616","","17030","11276240","Shared Local Governor - Group","Mrs","Sandy","","Clark","","","Appointed by foundation/Trust"
"1553707","","17030","11276240","Member","Mr","Tim","","Sweeting","01/11/2021","","Foundation/sponsor members"
"1565002","","17030","11276240","Shared Local Governor - Group","Mrs","Amy","","Browning","","","Appointed by foundation/Trust"
"1565026","","17030","11276240","Member","Mr","Fred","","Corbett","08/07/2021","","Foundation/sponsor members"
"1570820","","17030","11276240","Shared Chair of Local Governing Body - Group","Mr","Ian","","Clayton","","","Appointed by foundation/Trust"
"1584172","","17030","11276240","Shared Local Governor - Group","Mr","Christopher","","Frary","","","Elected by parents"
"1584814","","17030","11276240","Member","Rev","Joanna","","Haywood","11/03/2022","","Appointed by academy members"
"1590230","","17030","11276240","Trustee","Mrs","Kathy","","Griffiths","06/04/2022","05/04/2026","Appointed by academy members"
"1591008","","17030","11276240","Shared Chair of Local Governing Body - Group","Mrs","Nina","","Green","","01/09/2022","Appointed by foundation/Trust"
"1591009","","17030","11276240","Shared Local Governor - Group","Mr","Chris","","Wilson-Town","","01/09/2022","Appointed by foundation/Trust"
"1598470","","17030","11276240","Shared Chair of Local Governing Body - Group","Mr","Alan","","Kent","","","Appointed by foundation/Trust"
