RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,931,4077,140875,Wheatley Park School,Academy - Converter Mainstream,0,0,,3,1,73,73%,1%,70%,27%,22%,0%,1%,73,73%,1,3,0,0%,NA,NA,0,0%,NA,NA,75%,SUPP,67%,0%,0%,0%,SUPP
1,931,4116,137970,The Cherwell School,Academy - Converter Mainstream,0,0,,3,0,237,81%,1%,79%,40%,40%,5%,SP,237,81%,0,3,0,0%,NA,NA,0,0%,NA,NA,80%,SUPP,75%,25%,30%,5%,SUPP
1,931,4120,139146,Cheney School,Academy - Converter Mainstream,0,0,,2,10,97,84%,0%,81%,34%,27%,1%,2%,97,84%,10,2,0,0%,NA,NA,0,0%,NA,NA,60%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4125,143890,Larkmead School,Academy - Converter Mainstream,1,0,,3,4,40,75%,5%,68%,20%,15%,0%,3%,40,75%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4126,140580,John Mason School,Academy - Converter Mainstream,1,0,,3,0,52,77%,2%,69%,25%,21%,4%,6%,52,77%,0,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4127,123257,Fitzharrys School,Community School,1,0,,3,8,30,80%,10%,70%,17%,17%,0%,0%,30,80%,8,3,0,0%,NA,NA,0,0%,NA,NA,0%,0%,0%,0%,0%,0%,0%
1,931,4128,142104,Matthew Arnold School,Academy - Converter Mainstream,0,0,,3,2,92,76%,1%,73%,25%,25%,2%,2%,92,76%,2,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4129,138762,St Birinus School,Academy - Converter Mainstream,1,0,,3,-3,54,69%,4%,65%,28%,26%,4%,0%,51,67%,-7,3,0,0%,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4139,138490,Didcot Girls' School,Academy - Converter Mainstream,1,0,,4,-18,82,60%,2%,57%,22%,23%,2%,0%,81,60%,-17,4,0,0%,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4140,137357,Wallingford School,Academy - Converter Mainstream,0,0,,3,3,112,82%,2%,80%,32%,27%,2%,0%,112,82%,3,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4141,137993,Faringdon Community College,Academy - Converter Mainstream,0,0,,3,-7,74,72%,1%,69%,28%,31%,0%,1%,74,72%,-7,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4142,137140,King Alfred's,Academy - Converter Mainstream,0,0,,3,-4,136,67%,3%,63%,22%,25%,2%,1%,110,75%,-2,3,0,0%,NA,NA,26,31%,-12,3,25%,SUPP,13%,0%,0%,0%,SUPP
1,931,4145,139528,St Gregory the Great Catholic School,Academy - Converter Mainstream,0,1,,3,11,56,79%,0%,77%,18%,14%,0%,2%,56,79%,11,3,0,0%,NA,NA,0,0%,NA,NA,86%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4560,138817,The Marlborough Church of England School,Academy - Converter Mainstream,0,0,,3,-3,80,71%,3%,66%,20%,19%,0%,3%,80,71%,-3,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4580,138667,Lord Williams's School,Academy - Converter Mainstream,0,0,,3,0,252,73%,2%,69%,24%,20%,SP,2%,252,73%,0,3,0,0%,NA,NA,0,0%,NA,NA,53%,0%,53%,13%,13%,SUPP,0%
1,931,4600,141146,Blessed George Napier Catholic School and Sports College,Academy - Converter Mainstream,0,0,,3,-5,77,66%,0%,64%,23%,21%,0%,3%,77,66%,-5,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3,931,4900,NA,Didcot Sixth Form College,Sixth Form Centre/Consortia,NA,NA,,4,-12,136,63%,3%,60%,24%,24%,3%,0%,132,63%,-13,4,0,0%,NA,NA,4,SUPP,SUPP,SUPP,50%,17%,33%,0%,0%,0%,0%
3,931,4901,NA,16-19 Abingdon,Sixth Form Centre/Consortia,NA,NA,,3,3,122,77%,5%,69%,21%,18%,2%,3%,122,77%,3,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,6905,135365,North Oxfordshire Academy,Academy - Sponsor Led Mainstream,0,0,,3,-13,49,51%,0%,51%,4%,4%,0%,0%,45,56%,-11,3,1,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,70%,0%,70%,0%,SUPP,0%,0%
1,931,6906,135675,The Oxford Academy,Academy - Sponsor Led Mainstream,0,1,,3,-8,107,38%,0%,38%,3%,1%,0%,0%,32,66%,8,3,0,0%,NA,NA,75,27%,-15,4,44%,0%,44%,0%,SUPP,0%,0%
1,931,6907,136261,Oxford Spires Academy,Academy - Sponsor Led Mainstream,0,0,,3,2,42,67%,0%,67%,10%,10%,0%,0%,41,66%,1,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,59%,0%,59%,6%,6%,0%,0%
1,931,8001,130789,The Henley College,Further Education Sector Institution,0,0,,3,-2,799,63%,2%,59%,12%,11%,SP,2%,517,69%,-5,4,10,20%,-26,3,272,53%,6,3,62%,0%,62%,10%,7%,SUPP,0%
1,931,8004,134153,Activate Learning,Further Education Sector Institution,0,0,,4,-5,855,41%,2%,37%,3%,2%,SP,3%,119,51%,-11,4,29,10%,-30,4,707,41%,-3,3,39%,1%,34%,3%,2%,SUPP,3%
1,931,8007,130793,Abingdon and Witney College,Further Education Sector Institution,0,0,,3,-2,285,46%,3%,36%,1%,1%,0%,7%,71,42%,-13,4,58,50%,6,3,156,47%,0,3,53%,0%,38%,0%,0%,0%,13%
LA,931,,,,,,,,NA,-3,4522,62%,2%,58%,16%,15%,1%,2%,3162,70%,-3,NA,105,33%,-10,NA,1255,43%,-2,NA,63%,2%,59%,17%,16%,1%,2%
1,936,4005,144503,Three Rivers Academy,Academy - Converter Mainstream,0,0,,3,3,44,64%,0%,61%,5%,2%,0%,2%,43,63%,2,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,58%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,4036,136833,Howard of Effingham School,Academy - Converter Mainstream,0,0,,3,0,140,77%,0%,77%,29%,26%,2%,0%,139,78%,0,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,67%,0%,67%,17%,17%,0%,0%
1,936,4073,143902,Therfield School,Academy - Converter Mainstream,0,0,,3,-12,54,52%,0%,52%,13%,13%,0%,0%,54,52%,-12,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,4098,142315,Oxted School,Academy - Converter Mainstream,0,0,,4,-13,201,57%,1%,55%,16%,15%,0%,1%,196,58%,-13,4,0,0%,NA,NA,5,SUPP,SUPP,SUPP,61%,0%,61%,0%,6%,0%,0%
1,936,4153,138928,Warlingham School,Academy - Converter Mainstream,0,0,,3,-4,99,66%,2%,63%,14%,12%,0%,1%,99,66%,-4,3,0,0%,NA,NA,0,0%,NA,NA,64%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,4190,140117,Tomlinscote School,Academy - Converter Mainstream,0,0,,4,-16,64,41%,3%,36%,5%,2%,0%,2%,43,51%,-13,3,4,SUPP,SUPP,SUPP,17,24%,-19,3,29%,SUPP,14%,0%,SUPP,0%,SUPP
1,936,4454,143901,The Ashcombe School,Academy - Converter Mainstream,0,0,,3,4,133,81%,1%,80%,29%,29%,2%,0%,133,81%,4,3,0,0%,NA,NA,0,0%,NA,NA,56%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,936,4456,136906,George Abbot School,Academy - Converter Mainstream,0,0,,3,0,240,73%,1%,71%,25%,22%,1%,1%,210,80%,3,3,0,0%,NA,NA,30,23%,-28,5,57%,7%,50%,7%,7%,0%,0%
1,936,4611,125275,St Andrew's Catholic School,Voluntary Aided School,0,0,,3,-4,93,76%,0%,76%,43%,41%,2%,0%,88,77%,-5,3,0,0%,NA,NA,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,4619,125276,St Peter's Catholic School,Voluntary Aided School,0,0,,3,4,75,84%,5%,77%,48%,36%,4%,1%,75,84%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,4622,125278,St Bede's School,Voluntary Aided School,0,0,,3,7,125,83%,6%,75%,22%,18%,0%,2%,125,83%,7,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,4623,125279,Royal Alexandra and Albert School,Voluntary Aided School,0,0,,3,11,53,83%,4%,79%,17%,23%,0%,0%,53,83%,11,3,0,0%,NA,NA,0,0%,NA,NA,83%,0%,83%,0%,0%,0%,0%
1,936,4763,138491,The Bishop Wand Church of England School,Academy - Converter Mainstream,0,0,,3,2,68,72%,1%,71%,16%,6%,0%,0%,68,72%,2,3,0,0%,NA,NA,0,0%,NA,NA,60%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,936,4765,125281,The Priory CofE Voluntary Aided School,Voluntary Aided School,0,0,,3,-3,35,57%,3%,54%,6%,3%,0%,0%,34,59%,-2,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5400,139193,Guildford County School,Academy - Converter Mainstream,0,0,,3,-3,106,72%,1%,70%,40%,37%,3%,1%,99,77%,0,3,0,0%,NA,NA,7,0%,-39,5,50%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5401,136828,Collingwood College,Academy - Converter Mainstream,0,0,,3,-1,121,65%,5%,60%,17%,14%,2%,1%,107,73%,3,3,0,0%,NA,NA,14,7%,-32,5,54%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5402,143369,"St John the Baptist Catholic Comprehensive School, Woking",Academy - Converter Mainstream,0,0,,3,-5,143,76%,4%,71%,37%,31%,3%,1%,143,76%,-5,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5403,139151,Gordon's School,Academy - Converter Mainstream,0,0,,3,5,101,88%,1%,86%,55%,48%,0%,1%,101,88%,5,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5404,136534,Glyn School,Academy - Converter Mainstream,0,0,,3,3,258,79%,2%,77%,24%,21%,1%,SP,255,80%,3,3,0,0%,NA,NA,3,SUPP,SUPP,SUPP,94%,SUPP,88%,24%,12%,6%,SUPP
1,936,5405,137595,Epsom and Ewell High School,Academy - Converter Mainstream,0,0,,3,3,51,71%,4%,67%,12%,8%,0%,0%,50,72%,4,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,86%,0%,86%,0%,0%,0%,0%
1,936,5406,137735,The Beacon School,Academy - Converter Mainstream,0,0,,3,-14,36,56%,0%,53%,11%,6%,0%,3%,34,59%,-12,3,0,0%,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5407,137736,Rosebery School,Academy - Converter Mainstream,0,0,,3,0,125,79%,0%,78%,26%,23%,1%,1%,125,79%,0,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5409,142314,Heathside School,Academy - Converter Mainstream,0,0,,3,7,105,88%,0%,87%,38%,33%,4%,1%,105,88%,7,3,0,0%,NA,NA,0,0%,NA,NA,86%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5411,125311,St Paul's Catholic College,Voluntary Aided School,0,0,,3,-3,103,70%,2%,67%,9%,8%,0%,1%,102,70%,-3,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,62%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5412,143367,"Salesian School, Chertsey",Academy - Converter Mainstream,0,0,,3,5,155,85%,1%,83%,37%,34%,0%,1%,155,85%,5,3,0,0%,NA,NA,0,0%,NA,NA,100%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5413,137003,Fullbrook School,Academy - Converter Mainstream,0,0,,3,5,83,78%,1%,77%,14%,16%,0%,0%,83,78%,5,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5415,125315,All Hallows Catholic School,Voluntary Aided School,0,0,,3,4,82,83%,1%,82%,27%,27%,1%,0%,82,83%,4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,5416,137855,Hinchley Wood School,Academy - Converter Mainstream,0,0,,2,9,116,90%,1%,89%,42%,39%,1%,0%,116,90%,9,2,0,0%,NA,NA,0,0%,NA,NA,57%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,936,5417,137906,Blenheim High School,Academy - Converter Mainstream,0,0,,3,-2,87,70%,2%,66%,16%,15%,1%,2%,87,70%,-2,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,936,8001,130822,North East Surrey College of Technology,Further Education Sector Institution,0,0,,3,-1,263,43%,2%,29%,1%,1%,0%,12%,0,0%,NA,NA,30,13%,-23,4,233,46%,2,3,40%,0%,32%,0%,0%,0%,8%
1,936,8005,130824,East Surrey College,Further Education Sector Institution,0,0,,3,-2,384,44%,3%,35%,2%,2%,0%,7%,3,SUPP,SUPP,SUPP,8,88%,43,1,373,43%,-3,3,38%,3%,30%,3%,2%,0%,5%
1,936,8007,130825,Brooklands College,Further Education Sector Institution,0,0,,4,-12,172,34%,1%,29%,1%,0%,0%,5%,15,47%,-12,3,2,SUPP,SUPP,SUPP,155,33%,-13,4,42%,SUPP,29%,SUPP,0%,0%,SUPP
1,936,8600,145004,Godalming College,Academy 16-19 Converter,0,0,,4,-4,974,70%,1%,68%,26%,23%,1%,1%,939,71%,-4,4,18,33%,-11,3,17,41%,-7,3,45%,0%,45%,18%,14%,0%,0%
1,936,8601,145005,Reigate College,Academy 16-19 Converter,0,0,,4,-4,1033,66%,2%,63%,21%,17%,SP,1%,893,70%,-3,3,0,0%,NA,NA,140,39%,-5,3,61%,1%,60%,12%,8%,0%,0%
1,936,8602,130830,Esher College,Further Education Sector Institution,0,0,,3,-1,894,74%,1%,72%,26%,23%,1%,1%,875,75%,-1,3,0,0%,NA,NA,19,37%,-7,3,68%,1%,63%,7%,8%,0%,3%
1,936,8603,145007,Woking College,Academy 16-19 Converter,0,0,,4,-6,550,59%,1%,57%,12%,9%,SP,1%,456,63%,-7,4,0,0%,NA,NA,94,39%,-4,3,55%,0%,55%,5%,4%,SUPP,0%
LA,936,,,,,,,,NA,-3,7862,66%,2%,63%,20%,18%,1%,2%,6359,73%,-2,NA,134,28%,-13,NA,1369,38%,-7,NA,67%,2%,64%,22%,19%,1%,2%
1,938,4001,140105,Chichester High School,Academy - Converter Mainstream,0,0,,3,-8,112,61%,0%,60%,18%,17%,1%,1%,101,66%,-5,3,0,0%,NA,NA,11,9%,-31,5,20%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4003,134042,Oriel High School,Community School,0,0,,4,-15,119,56%,2%,54%,8%,5%,0%,1%,111,58%,-16,4,8,38%,-7,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4005,137782,The Regis School,Academy - Sponsor Led Mainstream,0,0,,3,-8,81,58%,0%,56%,7%,6%,0%,2%,77,60%,-8,3,0,0%,NA,NA,4,SUPP,SUPP,SUPP,58%,0%,58%,0%,0%,0%,0%
1,938,4025,126068,"Weald School, The",Community School,0,0,,3,-3,125,70%,1%,68%,21%,19%,0%,1%,124,70%,-3,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,63%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4029,137263,Hazelwick School,Academy - Converter Mainstream,0,0,,3,2,158,73%,1%,72%,9%,9%,1%,0%,157,73%,1,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,56%,0%,56%,6%,6%,SUPP,0%
1,938,4030,126071,Ifield Community College,Community School,0,0,,5,-21,73,37%,1%,36%,7%,5%,0%,0%,63,41%,-20,4,0,0%,NA,NA,10,10%,-30,3,26%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,938,4044,138620,Thomas Bennett Community College,Academy - Converter Mainstream,0,0,,3,-9,48,48%,0%,48%,4%,4%,0%,0%,35,51%,-11,3,6,50%,4,3,7,29%,-12,3,63%,0%,63%,0%,0%,0%,0%
1,938,4059,126080,Felpham Community College,Community School,0,0,,3,-7,80,63%,3%,59%,5%,6%,0%,1%,67,66%,-9,3,13,46%,3,3,0,0%,NA,NA,67%,SUPP,50%,0%,0%,0%,SUPP
1,938,4060,126081,The Angmering School,Community School,0,0,,5,-23,40,50%,5%,45%,15%,15%,0%,0%,38,53%,-22,5,0,0%,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4106,126088,Imberhorne School,Community School,0,0,,4,-12,136,60%,3%,56%,18%,17%,2%,1%,136,60%,-12,4,0,0%,NA,NA,0,0%,NA,NA,83%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4107,126089,Sackville School,Community School,0,0,,4,-15,165,54%,3%,48%,13%,9%,0%,2%,163,54%,-15,4,2,SUPP,SUPP,SUPP,0,0%,NA,NA,67%,0%,67%,22%,22%,0%,0%
1,938,4501,126092,Steyning Grammar School,Voluntary Controlled School,0,0,,4,-11,221,65%,4%,61%,18%,16%,1%,SP,219,65%,-11,4,0,0%,NA,NA,2,SUPP,SUPP,SUPP,54%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4602,126095,"St Wilfrid's Catholic Comprehensive School, Crawley",Voluntary Aided School,0,0,,3,-1,87,64%,2%,62%,11%,9%,0%,0%,86,65%,-1,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,75%,0%,75%,17%,8%,0%,0%
1,938,4604,140472,"Bishop Luffa School, Chichester",Academy - Converter Mainstream,0,0,,3,-4,144,76%,0%,75%,31%,32%,3%,1%,144,76%,-4,3,0,0%,NA,NA,0,0%,NA,NA,64%,0%,64%,9%,27%,0%,0%
1,938,4606,126098,"Holy Trinity CofE Secondary School, Crawley",Voluntary Aided School,0,0,,3,2,116,67%,3%,62%,8%,7%,1%,2%,102,74%,5,3,2,SUPP,SUPP,SUPP,12,8%,-32,5,38%,0%,38%,0%,0%,SUPP,0%
1,938,4610,126101,St Paul's Catholic College,Voluntary Aided School,0,0,,3,-1,157,72%,1%,69%,23%,20%,1%,2%,144,73%,-3,3,13,62%,19,3,0,0%,NA,NA,43%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,938,4800,144243,St Philip Howard Catholic School,Academy - Converter Mainstream,0,0,,3,1,93,77%,1%,76%,32%,26%,1%,0%,93,77%,1,3,0,0%,NA,NA,0,0%,NA,NA,33%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,938,6911,135744,The Sir Robert Woodard Academy,Academy - Sponsor Led Mainstream,0,0,,3,-9,66,56%,0%,50%,8%,6%,3%,6%,43,70%,-5,3,0,0%,NA,NA,23,30%,-17,3,75%,0%,75%,17%,17%,SUPP,0%
1,938,6912,135745,The Littlehampton Academy,Academy - Sponsor Led Mainstream,0,0,,3,-3,53,62%,2%,58%,6%,6%,4%,2%,53,62%,-3,3,0,0%,NA,NA,0,0%,NA,NA,55%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6913,135760,Midhurst Rother College,Academy - Sponsor Led Mainstream,0,0,,3,-15,30,53%,0%,53%,13%,7%,0%,0%,30,53%,-15,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6914,135962,Shoreham Academy,Academy - Sponsor Led Mainstream,0,0,,5,-30,80,38%,0%,36%,8%,9%,0%,1%,76,39%,-29,5,1,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,14%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,8003,130842,Greater Brighton Metropolitan College,Further Education Sector Institution,0,0,,4,-6,522,39%,1%,30%,3%,1%,0%,7%,10,30%,-24,3,22,23%,-9,3,490,40%,-6,4,27%,0%,20%,4%,2%,0%,7%
1,938,8004,130843,Chichester College Group,Further Education Sector Institution,0,0,,4,-7,813,46%,1%,37%,4%,3%,0%,8%,264,59%,-10,4,65,38%,-4,3,484,39%,-6,4,40%,3%,28%,4%,4%,0%,9%
1,938,8602,130847,The College of Richard Collyer In Horsham,Further Education Sector Institution,0,0,,4,-9,857,63%,2%,61%,19%,17%,1%,SP,821,64%,-10,4,8,38%,-8,3,28,46%,1,3,36%,0%,36%,9%,6%,0%,0%
LA,938,,,,,,,,NA,-8,4903,56%,2%,52%,12%,10%,1%,3%,3585,63%,-9,NA,141,40%,-1,NA,1177,38%,-8,NA,58%,2%,54%,13%,11%,1%,3%
1,800,4003,142125,Mendip Studio School,Free School  Studio School ,0,0,,4,-19,39,33%,0%,31%,3%,3%,0%,3%,32,41%,-17,4,7,0%,-31,3,0,0%,NA,NA,33%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4004,142127,IKB Academy,Free School  Studio School ,0,0,,3,-3,28,54%,7%,46%,7%,11%,4%,0%,13,62%,-5,3,15,47%,-2,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4107,136966,Hayesfield Girls School,Academy - Converter Mainstream,0,0,,3,-1,120,74%,0%,73%,18%,21%,1%,1%,120,74%,-1,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4128,136335,Norton Hill Academy,Academy - Converter Mainstream,0,0,,4,-13,123,63%,2%,61%,19%,17%,2%,1%,123,63%,-13,4,0,0%,NA,NA,0,0%,NA,NA,43%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4130,145482,Chew Valley School,Academy - Converter Mainstream,0,0,,3,1,89,75%,3%,72%,15%,21%,1%,0%,89,75%,1,3,0,0%,NA,NA,0,0%,NA,NA,50%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,800,4132,138522,Ralph Allen School,Academy - Converter Mainstream,0,0,,3,2,107,82%,2%,79%,41%,41%,6%,1%,107,82%,2,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4133,136311,Somervale School Specialist Media Arts College,Academy - Converter Mainstream,0,0,,5,-23,37,46%,0%,46%,8%,8%,0%,0%,36,44%,-24,5,1,SUPP,SUPP,SUPP,0,0%,NA,NA,50%,0%,50%,0%,0%,0%,0%
1,800,4134,137548,Writhlington School,Academy - Converter Mainstream,0,0,,4,-13,105,56%,0%,55%,16%,16%,0%,1%,105,56%,-13,4,0,0%,NA,NA,0,0%,NA,NA,69%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4138,137523,Wellsway School,Academy - Converter Mainstream,0,0,,3,-1,113,76%,4%,72%,27%,30%,0%,1%,112,76%,-2,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,83%,SUPP,67%,50%,50%,0%,SUPP
1,800,4607,109328,St Mark's CofE School,Voluntary Aided School,0,0,,3,-21,9,44%,0%,44%,0%,0%,0%,0%,9,44%,-21,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,4608,109329,Saint Gregory's Catholic College,Voluntary Aided School,0,0,,3,-4,55,73%,0%,73%,22%,22%,0%,0%,55,73%,-4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,5401,136483,Oldfield School,Academy - Converter Mainstream,0,0,,3,-7,14,64%,0%,64%,29%,29%,0%,0%,14,64%,-7,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,800,8009,130558,Bath College,Further Education Sector Institution,0,0,,4,-12,397,36%,2%,28%,2%,3%,0%,5%,35,29%,-34,5,92,27%,-14,4,270,39%,-8,4,43%,2%,41%,2%,2%,0%,0%
LA,800,,,,,,,,NA,-6,1461,60%,2%,56%,17%,18%,1%,2%,1046,70%,-5,NA,140,31%,-10,NA,275,39%,-8,NA,61%,2%,58%,18%,19%,1%,2%
1,801,4001,136822,Bristol Free School,Free School - Mainstream,0,0,,3,-9,47,55%,0%,53%,13%,15%,4%,2%,47,55%,-9,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,801,4100,137440,Cotham School,Academy - Converter Mainstream,1,0,,3,7,166,79%,0%,77%,19%,21%,1%,2%,158,80%,6,3,0,0%,NA,NA,8,63%,18,3,84%,0%,84%,20%,24%,0%,0%
1,801,4602,137627,St Bede's Catholic College,Academy - Converter Mainstream,0,0,,3,5,65,80%,0%,80%,20%,28%,0%,0%,65,80%,5,3,0,0%,NA,NA,0,0%,NA,NA,64%,0%,64%,18%,36%,0%,0%
1,801,4603,109327,St Mary Redcliffe and Temple School,Voluntary Aided School,0,0,,3,1,273,82%,1%,81%,34%,37%,1%,SP,273,82%,1,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,801,4627,138855,Redland Green School,Academy - Converter Mainstream,1,0,,3,-1,211,75%,1%,74%,39%,45%,3%,SP,210,76%,-1,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,58%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
3,801,4900,NA,North Bristol Post 16 Centre,Sixth Form Centre/Consortia,NA,NA,,3,2,377,77%,1%,75%,30%,34%,2%,1%,368,77%,2,3,0,0%,NA,NA,9,56%,11,3,76%,0%,76%,19%,22%,0%,0%
1,801,6908,135575,Bristol Cathedral Choir School,Academy - Sponsor Led Mainstream,0,0,,3,4,117,84%,1%,81%,33%,40%,1%,2%,117,84%,4,3,0,0%,NA,NA,0,0%,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,801,6909,135581,Colston's Girls' School,Academy - Sponsor Led Mainstream,0,0,,3,7,70,81%,0%,81%,33%,34%,4%,0%,70,81%,7,3,0,0%,NA,NA,0,0%,NA,NA,78%,0%,78%,33%,33%,SUPP,0%
